State,cases,deaths,CVAC level of concern for vaccination rollout,Percent Hispanic,Percent American Indian Alaska Native,Percent Asian,Percent Black,Percent Native Hawaiian Pacific Islander,Percent White,% Population Hesitant or Strongly Hesitant Towards COVID-19 Vaccine,AREA_SQMI,population,housing units count,households count,population density (pop per sqmi),per capita income,poverty rate,unemployment rate,% adults without hs diploma,% population >65,% population <17,svi socioeconomic ranking,svi household composition and disability ranking,svi minority status and language ranking,svi housing type and transportation ranking,svi overall ranking,% population uninsured,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Adult smoking raw value,Adult obesity raw value,Physical inactivity raw value,Excessive drinking raw value,Preventable hospital stays raw value,Flu vaccinations raw value,Life expectancy raw value,Ratio of population to primary care physicians.,Food environment index raw value,Food insecurity raw value,Homeownership raw value,Broadband access raw value,Income inequality raw value,Air pollution - particulate matter raw value,Drinking water violations raw value,% Rural raw value,cases per 100k,deaths per 100k,Percent of cases resulting in death,impact_points,impact_category,impact_category_code,state_abbr
HAWAII,36680,515.0,0.326,0.096,0.0047,0.2893,0.0134,0.1314,0.2623,0.0912,6422,1422029,539053,456782,221.42,35526.0,10.82,3.72,9.02,17.58,18.54,0.18,0.15,0.95,0.61,0.41,4.34,6185.045,0.1613,3.653,3.8644,0.1637,0.246,0.1898,0.2339,2082.5,0.4125,82.0065,1230.7983,7.85,0.1085,0.6204,0.8317,4.4691,6.975,0.0,0.1657,2579,36,1.4040348964013085,3873.7323,0-Low,0.0,HI
VERMONT,24433,258.0,0.1971,0.0181,0.0035,0.0099,0.0094,0.0004,0.9389,0.062,9217,624977,333013,259589,67.8,31966.0,11.27,4.24,8.21,19.46,19.01,0.2,0.31,0.18,0.46,0.2,4.31,6774.5357,0.1393,3.8469,4.5565,0.1681,0.2828,0.2036,0.2158,3447.4286,0.4671,79.4099,1539.0478,8.3429,0.1086,0.7435,0.8,4.318,5.4214,0.5,0.7537,3909,41,1.0559489215405395,4344.1739,0-Low,0.0,VT
ALASKA,70774,360.0,0.7445,0.0531,0.3246,0.0539,0.0133,0.0053,0.4787,0.3743,570982,738516,315386,253462,1.29,32531.21,13.32,9.41,9.79,11.8,24.54,0.39,0.37,0.69,0.82,0.56,19.93,9636.3187,0.1984,4.7529,4.5961,0.2416,0.3309,0.2248,0.191,3320.8333,0.2907,78.0253,1297.5531,6.14,0.1523,0.6499,0.7669,4.3408,8.125,0.6,0.6592,9583,48,0.5086613728205274,4996.5807,0-Low,0.0,AK
MAINE,69118,860.0,0.3119,0.0155,0.0081,0.0079,0.0084,0.0003,0.94,0.1743,30844,1332813,739077,556955,43.21,28983.25,13.78,5.22,8.36,21.12,18.76,0.35,0.45,0.19,0.5,0.33,9.34,7381.4989,0.172,4.2104,4.8363,0.2056,0.3087,0.221,0.2138,3482.125,0.4331,78.359,1185.7795,7.8375,0.1352,0.7466,0.795,4.4482,6.4125,0.5625,0.7419,5185,64,1.2442489655371973,6849.5906,0-Low,0.0,ME
OREGON,209561,2812.0,0.5294,0.121,0.0165,0.0168,0.0073,0.0033,0.803,0.1977,95987,4081943,1750539,1591835,42.53,27690.11,15.25,6.82,11.11,21.07,20.75,0.51,0.56,0.58,0.7,0.6,7.8,6915.3168,0.1946,4.8098,5.0737,0.1941,0.3224,0.2132,0.2058,2634.1176,0.3968,79.1716,1559.4675,7.4059,0.1308,0.6591,0.8149,4.3304,6.5618,0.6176,0.411,5133,68,1.341852730231293,7343.96,0-Low,0.0,OR
UTAH,417330,2385.0,0.5072,0.0921,0.0285,0.0081,0.0046,0.0033,0.8484,0.1894,82195,3045350,1066131,957619,37.05,25467.79,11.87,4.01,8.29,14.18,29.5,0.35,0.3,0.55,0.33,0.32,11.92,6925.1158,0.1629,4.0783,4.1899,0.1228,0.2785,0.1923,0.1164,2674.2222,0.4189,79.294,2307.8994,7.2821,0.1267,0.7477,0.8348,3.8615,6.3571,0.6071,0.4651,13703,78,0.5714901876213069,8054.0112,0-Low,0.0,UT
WASHINGTON,455630,6011.0,0.4605,0.1445,0.0189,0.0275,0.0134,0.0032,0.7554,0.1346,66453,7294336,3064381,2800423,109.77,29278.85,14.24,6.07,11.25,19.66,21.67,0.44,0.48,0.66,0.57,0.52,7.88,6557.6389,0.1803,4.3815,4.4092,0.1584,0.3148,0.1942,0.1904,2685.4359,0.4023,79.9804,1828.8292,7.4026,0.1285,0.6842,0.828,4.3645,6.6282,0.3846,0.4479,6246,82,1.3192722164914514,8781.0759,0-Low,0.0,WA
NEW HAMPSHIRE,99626,1373.0,0.097,0.0263,0.0019,0.0193,0.0113,0.0003,0.9227,0.1714,8953,1343622,630955,528078,150.07,35540.2,9.17,4.08,7.53,19.02,18.55,0.12,0.19,0.29,0.47,0.17,7.34,6744.0001,0.1408,3.6747,4.4331,0.1691,0.2972,0.2184,0.2097,3638.2,0.494,79.2434,1179.2978,8.59,0.0938,0.7192,0.8532,4.2227,5.42,0.9,0.5537,7414,102,1.3781542970710456,10920.4946,0-Low,0.0,NH
COLORADO,563067,6971.0,0.3486,0.2013,0.0089,0.0114,0.0143,0.0009,0.7435,0.1255,103638,5531141,2352202,2113387,53.37,30695.41,13.06,5.14,9.15,18.27,20.75,0.35,0.33,0.66,0.45,0.4,9.75,7074.0421,0.1584,3.694,3.9439,0.1757,0.2458,0.1867,0.2073,2761.7833,0.4195,81.0967,1876.1368,7.88,0.1106,0.6995,0.8118,4.2679,5.2583,0.6667,0.5592,10179,126,1.2380409436177222,13381.9846,1-Average,1.0,CO
IDAHO,195506,2161.0,0.3875,0.1308,0.0162,0.0065,0.0036,0.0011,0.8236,0.3177,82645,1687809,711731,618331,20.42,24397.14,14.98,4.93,11.86,18.11,25.26,0.49,0.5,0.53,0.35,0.45,13.15,7009.4652,0.1863,4.3467,4.4844,0.1877,0.304,0.2338,0.186,2467.3571,0.3742,79.2216,2589.7857,7.5884,0.1163,0.7304,0.7968,4.0647,6.907,0.5581,0.6057,11583,128,1.1053369206060173,13510.5332,1-Average,1.0,ID
